Player,Team,Rnd,K,D,A,FK,FD,CL,LastAlive,KMax,Rating,ACS,ADR,KAST,HS%,KD,KDA,KPR,DPR,APR,FKPR,FDPR,CLPR,LastAlivePR,CL%,BaitScore
2ge,RRQ,504,313,329,212,15,31,10,71,30,1.0,169.05,112.67,0.74,0.27,0.95,1.6,0.62,0.65,0.42,0.03,0.06,0.02,0.14,0.14,0.32
2ge,TS,672,415,467,234,51,65,13,89,20,0.93,178.75,114.99,0.7,0.25,0.89,1.39,0.62,0.69,0.35,0.08,0.1,0.02,0.13,0.15,0.34
aaaay,FPX,345,244,253,79,12,20,5,53,27,0.95,192.27,127.22,0.7,0.33,0.96,1.28,0.71,0.73,0.23,0.03,0.06,0.01,0.15,0.09,0.65
add3r,FUR,38,28,28,3,4,6,0,1,18,0.89,194.5,126.2,0.66,0.33,1.0,1.11,0.74,0.74,0.08,0.11,0.16,0.0,0.03,0.0,0.33
adverso,KRÜ,569,338,389,162,38,51,12,50,21,0.91,175.23,119.18,0.7,0.2,0.87,1.29,0.59,0.68,0.28,0.07,0.09,0.02,0.09,0.24,0.27
adverso,LEV,401,270,292,111,38,33,1,24,29,0.94,200.08,131.4,0.69,0.27,0.92,1.3,0.67,0.73,0.28,0.09,0.08,0.0,0.06,0.04,0.2
akame,DFM,405,295,302,126,50,39,4,51,32,1.06,208.01,136.89,0.73,0.32,0.98,1.39,0.73,0.75,0.31,0.12,0.1,0.01,0.13,0.08,0.4
alfajer,FNC,3975,3183,2603,771,469,365,63,439,32,1.13,223.16,148.59,0.74,0.29,1.22,1.52,0.8,0.65,0.19,0.12,0.09,0.02,0.11,0.14,0.7
ange1,FPX,911,514,689,253,85,139,6,59,20,0.75,167.38,112.34,0.65,0.3,0.75,1.11,0.56,0.76,0.28,0.09,0.15,0.01,0.06,0.1,0.17
ange1,NAVI,2622,1536,1959,784,294,318,25,186,27,0.8,171.41,114.21,0.68,0.31,0.78,1.18,0.59,0.75,0.3,0.11,0.12,0.01,0.07,0.13,0.19
anthem,DFM,1106,649,806,350,60,99,21,147,22,0.87,171.29,116.41,0.72,0.26,0.81,1.24,0.59,0.73,0.32,0.05,0.09,0.02,0.13,0.14,0.34
apoth,EG,632,374,459,143,56,96,10,63,22,0.84,172.75,118.68,0.61,0.34,0.81,1.13,0.59,0.73,0.23,0.09,0.15,0.02,0.1,0.16,0.36
ara,GX,106,85,78,16,21,17,0,11,22,1.04,229.8,146.7,0.77,0.24,1.09,1.29,0.8,0.74,0.15,0.2,0.16,0.0,0.1,0.0,0.75
ardiis,FPX,911,751,645,202,143,93,13,96,30,1.11,232.01,148.03,0.72,0.22,1.16,1.48,0.82,0.71,0.22,0.16,0.1,0.01,0.11,0.14,0.55
ardiis,NAVI,760,583,558,249,101,89,15,73,28,1.05,212.18,139.38,0.72,0.22,1.04,1.49,0.77,0.73,0.33,0.13,0.12,0.02,0.1,0.21,0.31
ardiis,NRG,1437,1072,990,339,259,194,16,134,29,1.03,217.96,143.6,0.73,0.19,1.08,1.43,0.75,0.69,0.24,0.18,0.14,0.01,0.09,0.12,0.43
art,DFM,405,198,312,123,23,49,2,35,16,0.72,154.06,102.93,0.64,0.2,0.63,1.03,0.49,0.77,0.3,0.06,0.12,0.0,0.09,0.06,0.18
artzin,MIBR,1572,1054,1207,446,193,227,19,117,28,0.89,197.92,129.62,0.68,0.23,0.87,1.24,0.67,0.77,0.28,0.12,0.14,0.01,0.07,0.16,0.23
ash,GEN,472,290,280,117,26,27,7,48,19,1.0,173.7,116.8,0.72,0.31,1.04,1.45,0.61,0.59,0.25,0.06,0.06,0.01,0.1,0.15,0.42
askia,2G,234,161,171,35,35,37,4,24,20,0.92,194.0,134.0,0.65,0.32,0.94,1.15,0.69,0.73,0.15,0.15,0.16,0.02,0.1,0.17,0.65
aslanm4shadow,BBL,578,409,429,109,43,61,11,59,28,0.94,199.15,134.23,0.68,0.26,0.95,1.21,0.71,0.74,0.19,0.07,0.11,0.02,0.1,0.19,0.52
aspas,LEV,1616,1454,1043,291,282,180,28,191,47,1.26,250.76,164.98,0.75,0.29,1.39,1.67,0.9,0.65,0.18,0.17,0.11,0.02,0.12,0.15,0.91
aspas,LOUD,2360,1996,1599,403,393,298,34,229,33,1.14,235.32,151.12,0.74,0.25,1.25,1.5,0.85,0.68,0.17,0.17,0.13,0.01,0.1,0.15,0.71
aspas,MIBR,873,768,564,117,170,119,15,83,37,1.22,244.56,157.04,0.75,0.25,1.36,1.57,0.88,0.65,0.13,0.19,0.14,0.02,0.1,0.18,0.97
asuna,100T,2475,1739,1817,884,322,338,32,190,27,0.99,208.93,135.05,0.73,0.21,0.96,1.44,0.7,0.73,0.36,0.13,0.14,0.01,0.08,0.17,0.21
atakaptan,FUT,2685,1752,1877,1109,198,264,49,272,31,0.98,187.84,120.9,0.72,0.28,0.93,1.52,0.65,0.7,0.41,0.07,0.1,0.02,0.1,0.18,0.23
autumn,FPX,201,154,148,43,38,18,5,26,25,1.06,220.36,143.06,0.7,0.3,1.04,1.33,0.77,0.74,0.21,0.19,0.09,0.02,0.13,0.19,0.63
avez,KC,525,373,348,145,35,51,5,38,25,1.05,206.07,133.7,0.73,0.34,1.07,1.49,0.71,0.66,0.28,0.07,0.1,0.01,0.07,0.13,0.28
avova,APK,366,206,262,136,22,20,10,64,19,0.9,169.55,110.97,0.72,0.31,0.79,1.31,0.56,0.72,0.37,0.06,0.05,0.03,0.17,0.16,0.37
avova,G2,128,75,96,38,9,14,4,15,17,0.83,169.0,111.0,0.62,0.31,0.78,1.18,0.59,0.75,0.3,0.07,0.11,0.03,0.12,0.27,0.31
avova,TH,551,347,401,196,34,49,11,91,25,0.95,177.2,114.31,0.7,0.24,0.87,1.35,0.63,0.73,0.36,0.06,0.09,0.02,0.17,0.12,0.4
axeddy,KRÜ,194,107,148,58,11,27,3,21,23,0.79,169.21,110.6,0.67,0.23,0.72,1.11,0.55,0.76,0.3,0.06,0.14,0.02,0.11,0.14,0.26
ayrin,GE,562,326,392,152,34,46,13,83,18,0.85,169.89,109.81,0.67,0.19,0.83,1.22,0.58,0.7,0.27,0.06,0.08,0.02,0.15,0.16,0.45
ayrin,XSET,404,233,282,111,15,21,4,46,22,0.88,164.86,109.16,0.7,0.2,0.83,1.22,0.58,0.7,0.27,0.04,0.05,0.01,0.11,0.09,0.34
ban,T1,990,644,713,286,101,97,15,115,24,0.9,182.61,116.84,0.7,0.26,0.9,1.3,0.65,0.72,0.29,0.1,0.1,0.02,0.12,0.13,0.36
ban,TLN,1161,791,832,260,131,129,13,134,26,0.93,191.79,126.59,0.67,0.34,0.95,1.26,0.68,0.72,0.22,0.11,0.11,0.01,0.12,0.1,0.49
bang,100T,1897,1325,1273,653,172,189,31,194,35,1.04,197.73,127.54,0.74,0.33,1.04,1.55,0.7,0.67,0.34,0.09,0.1,0.02,0.1,0.16,0.31
bang,SEN,948,668,631,374,92,84,17,75,24,1.06,200.71,126.77,0.75,0.34,1.06,1.65,0.7,0.67,0.39,0.1,0.09,0.02,0.08,0.23,0.21
batujnax,APK,320,205,246,77,33,41,2,39,27,0.85,181.28,118.22,0.69,0.25,0.83,1.15,0.64,0.77,0.24,0.1,0.13,0.01,0.12,0.05,0.42
bazzi,GE,562,357,389,263,34,22,11,85,25,1.0,192.55,123.51,0.77,0.17,0.92,1.59,0.64,0.69,0.47,0.06,0.04,0.02,0.15,0.13,0.3
bcj,EG,157,100,108,85,9,16,4,24,18,1.06,189.87,119.79,0.76,0.18,0.93,1.71,0.64,0.69,0.54,0.06,0.1,0.03,0.15,0.17,0.26
bcj,XSET,404,268,275,137,34,38,7,35,24,0.98,192.88,124.94,0.74,0.16,0.97,1.47,0.66,0.68,0.34,0.08,0.09,0.02,0.09,0.2,0.25
bdog,FUR,38,28,21,21,2,0,0,8,16,1.28,212.5,125.5,0.79,0.35,1.33,2.33,0.74,0.55,0.55,0.05,0.0,0.0,0.21,0.0,0.51
benjyfishy,TH,2574,1873,1715,470,204,217,55,329,30,1.03,195.17,131.27,0.71,0.36,1.09,1.37,0.73,0.67,0.18,0.08,0.08,0.02,0.13,0.17,0.76
benkai,GE,631,363,421,133,24,44,11,105,26,0.92,166.09,116.57,0.68,0.25,0.86,1.18,0.58,0.67,0.21,0.04,0.07,0.02,0.17,0.1,0.68
benkai,PRX,815,517,548,254,41,61,16,146,22,0.98,178.63,116.06,0.73,0.25,0.94,1.41,0.63,0.67,0.31,0.05,0.07,0.02,0.18,0.11,0.54
berlin,FPX,345,191,257,120,39,42,3,36,20,0.8,166.43,111.32,0.68,0.32,0.74,1.21,0.55,0.74,0.35,0.11,0.12,0.01,0.1,0.08,0.22
berserx,BME,598,400,406,110,58,62,15,76,22,0.96,189.83,125.36,0.7,0.23,0.99,1.26,0.67,0.68,0.18,0.1,0.1,0.03,0.13,0.2,0.68
