Player, Rnd, K, D, A, FK, FD, CL, LastAlive, KMax, Rating, ACS, ADR, KAST, HS%
penny,38,37,22,8,7,4,1,4,22,1.37,266.0,165.9,0.82,0.24
mada,183,178,130,35,37,39,5,19,30,1.29,277.3,173.6,0.75,0.22
bdog,38,28,21,21,2,0,0,8,16,1.28,212.5,125.5,0.79,0.35
aspas,373,332,241,48,73,45,3,42,37,1.26,248.8,163.4,0.77,0.23
trent,221,179,126,47,21,16,7,27,23,1.26,217.2,150.7,0.75,0.28
Shyy,246,188,154,56,19,9,9,38,25,1.20,213.1,141.9,0.77,0.28
leaf,221,186,146,44,34,19,7,32,24,1.19,230.0,151.6,0.71,0.27
dgzin,204,175,130,25,42,24,2,16,28,1.19,238.9,156.1,0.7,0.26
jakee,38,29,25,18,1,4,0,0,19,1.16,221.0,141.7,0.82,0.25
gobera,69,58,54,20,7,4,1,18,23,1.16,239.5,157.2,0.75,0.32
Cryocells,170,138,115,41,23,13,4,20,24,1.15,233.9,154.1,0.81,0.29
Melser,246,182,148,88,24,16,7,27,26,1.14,204.0,125.7,0.78,0.33
s0m,183,138,125,81,19,14,2,18,30,1.11,215.0,134.1,0.81,0.24
Khalil,80,62,58,21,7,3,1,14,19,1.10,211.3,137.1,0.79,0.39
eeiu,170,129,107,55,10,8,4,23,26,1.09,198.1,129.0,0.78,0.41
johnqt,370,242,231,100,24,18,4,40,27,1.09,186.5,127.9,0.74,0.27
kiNgg,148,112,104,57,14,13,3,19,20,1.09,216.0,138.4,0.8,0.32
pANcada,204,142,131,63,17,11,2,38,20,1.08,193.4,129.0,0.75,0.39
stellar,38,29,24,11,4,6,2,2,15,1.08,204.5,143.3,0.76,0.19
JonahP,221,144,138,113,12,13,4,22,18,1.05,178.9,113.7,0.78,0.24
nataNk,148,104,97,56,19,21,4,15,20,1.05,207.1,136.9,0.76,0.25
Asuna,170,132,122,47,33,27,6,14,23,1.04,234.3,149.7,0.71,0.22
zekken,370,291,264,81,71,68,5,37,32,1.04,219.7,144.3,0.72,0.23
xenom,373,247,240,155,21,24,9,53,33,1.04,182.6,118.2,0.76,0.31
keznit,246,183,167,40,43,39,3,18,24,1.03,214.6,137.9,0.73,0.22
tex,148,104,95,14,9,16,6,20,17,1.03,186.6,123.3,0.7,0.36
valyn,221,145,141,89,14,16,5,17,20,1.03,187.5,122.8,0.72,0.2
supamen,128,88,87,37,11,10,5,17,25,1.01,190.0,123.2,0.7,0.35
Zellsis,370,254,261,129,29,40,6,54,31,1.01,200.2,129.9,0.7,0.24
